run_id,profile,checkpoint,gamma,seed,step,layer,status,training_loss,training_accuracy,test_accuracy,ntk_drift,weight_displacement,cka_drift,effective_rank,local_q01,local_normalized_q01,task_jacobian,nuisance_jacobian,global_q01,global_normalized_q01,collision_score,linear_nuisance_cosine,mlp_nuisance_cosine,linear_task_accuracy,mlp_task_accuracy,ph_h1_top1,ph_h1_top2
192b10da1b3cc56f,03878c8d9b9954cd,step_0000000,16.0,0,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,-1.5543122344752192e-15,8.113568784940572,3.2081000804901123,0.7319629192352295,3.94283390045166,3.8188705444335938,1.831660270690918,0.4179131920078768,0.14107699692249298,0.9999967217445374,0.9996932744979858,0.992,0.988,0.8387134273846945,0.7466577688852946
192b10da1b3cc56f,03878c8d9b9954cd,step_0000000,16.0,0,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,-6.661338147750939e-16,11.024968655585564,3.032860517501831,0.7879831790924072,4.102787971496582,3.7816810607910156,1.4834010601043701,0.38541008826199413,0.15084631741046906,0.9999750852584839,0.999421238899231,0.99,0.989,0.7672963341077169,0.6514575084050497
192b10da1b3cc56f,03878c8d9b9954cd,step_0000000,16.0,0,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,13.455427778741797,2.849092483520508,0.8320364356040955,4.171426773071289,3.7365825176239014,1.295362949371338,0.37829209018274507,0.1592388153076172,0.9999350309371948,0.9991989731788635,0.988,0.986,0.7285095453262329,0.5119533538818359
192b10da1b3cc56f,03878c8d9b9954cd,step_0000000,16.0,0,0,4,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,16.049451793418882,2.634141683578491,0.8866051435470581,4.096189498901367,3.590731382369995,1.1050633192062378,0.37194461867056305,0.1677533984184265,0.9998654723167419,0.9984642863273621,0.988,0.981,0.6564131776491801,0.49931101004282635
192b10da1b3cc56f,03878c8d9b9954cd,final,16.0,0,128,1,converged,0.08312783889770507,0.9614,0.962,151.82691955566406,0.16491641559232556,0.04575732547781064,7.515281624758355,3.003554344177246,0.6334755420684814,4.715324878692627,3.500558853149414,1.9489600658416748,0.4110524905175938,0.16644909977912903,0.9999908208847046,0.9996058344841003,0.992,0.991,0.9925137857596079,0.5946695605913798
192b10da1b3cc56f,03878c8d9b9954cd,final,16.0,0,128,2,converged,0.08312783889770507,0.9614,0.962,151.82691955566406,0.16491641559232556,0.22721879240978538,4.3325904577328584,2.655299186706543,0.29285094141960144,9.910992622375488,3.2427244186401367,1.8452894687652588,0.20351558436599954,0.26956215500831604,0.9999415874481201,0.9994720220565796,0.994,0.995,1.163434127966563,0.20453191796938577
192b10da1b3cc56f,03878c8d9b9954cd,final,16.0,0,128,3,converged,0.08312783889770507,0.9614,0.962,151.82691955566406,0.16491641559232556,0.2503448527504363,3.185227554383164,2.2789194583892822,0.11410529166460037,19.540630340576172,3.2505810260772705,1.9076725244522095,0.09551699417225609,0.4574619233608246,0.9997255802154541,0.9993170499801636,0.995,0.994,1.1111207207043965,0.09161277612050374
192b10da1b3cc56f,03878c8d9b9954cd,final,16.0,0,128,4,converged,0.08312783889770507,0.9614,0.962,151.82691955566406,0.16491641559232556,0.30567754817820936,3.031116586624731,1.9876422882080078,0.04542672261595726,39.782806396484375,3.5017600059509277,2.112856388092041,0.0482884372813879,0.6395045518875122,0.9990761876106262,0.9991258382797241,0.993,0.995,1.0074717700481415,0.036762175460656486
4af1ea473ba49a67,03878c8d9b9954cd,step_0000000,0.5,2,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,-6.661338147750939e-16,8.088566641533532,3.2907307147979736,0.7468307018280029,3.9913082122802734,3.7987194061279297,1.8744806051254272,0.425413025217632,0.1404963880777359,0.9999968409538269,0.999735951423645,0.993,0.991,0.7827601035435995,0.7495985627174377
4af1ea473ba49a67,03878c8d9b9954cd,step_0000000,0.5,2,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,10.909260424735939,2.915081262588501,0.7613140940666199,4.161735534667969,3.7593302726745605,1.5339306592941284,0.4006073645008298,0.14800336956977844,0.9999774098396301,0.9995109438896179,0.99,0.977,0.7161146203676859,0.6270299752553304
