run_id,gamma,seed,layer,cka_drift,scale,effective_rank,local_raw_q01,local_normalized_q01,task_jacobian,nuisance_jacobian,fiber_raw_q01,fiber_normalized_q01,exact_float_equal_pairs,linear_nuisance_cosine,mlp_nuisance_cosine,mlp_nuisance_angular_mae,convergence_warnings
527bb2ac4c40dfb4,0.03125,100,1,1.9231979520029086e-07,4.437081813812256,8.090709509325784,3.2705304622650146,0.7370904088020325,3.823544979095459,4.011744499206543,1.9528099095185842,0.4401113144769281,0,0.9999974370002747,0.9996589422225952,0.02005637250840664,0
527bb2ac4c40dfb4,0.03125,100,2,5.744516989214521e-05,3.659092664718628,11.391073284711323,2.8687527179718018,0.7840065956115723,3.6681151390075684,3.9233126640319824,1.4923283315938767,0.407841087486816,0,0.9999787211418152,0.9994176030158997,0.025567082688212395,0
527bb2ac4c40dfb4,0.03125,100,3,0.0003450397441034925,3.2833609580993652,13.492534106451053,2.6414754390716553,0.8045035004615784,3.698707342147827,3.997812271118164,1.3883767854898177,0.42285231602848367,0,0.9999444484710693,0.9992703795433044,0.02619278058409691,0
527bb2ac4c40dfb4,0.03125,100,4,0.001537465269499938,2.908013105392456,15.2122884318325,2.485387086868286,0.8546684384346008,3.593834400177002,3.8666725158691406,1.162789240829436,0.39985694654306236,0,0.9998595714569092,0.9990934133529663,0.029978489503264427,0
289b70872c4b2660,0.03125,101,1,2.786183248559837e-07,4.417056560516357,8.092016742792026,3.15411376953125,0.7140759229660034,4.125274658203125,3.635528802871704,1.760262443381645,0.3985148071492815,0,0.9999967217445374,0.9997386336326599,0.018238253891468048,0
289b70872c4b2660,0.03125,101,2,4.6328304101561635e-05,3.861677646636963,11.019464016254734,3.120244264602661,0.808002233505249,4.117961883544922,3.6725735664367676,1.5360549507777785,0.3977688174245952,0,0.9999805688858032,0.9995075464248657,0.02391146868467331,0
289b70872c4b2660,0.03125,101,3,0.00042103204159582575,3.4008073806762695,13.91230894484371,2.95274019241333,0.8682467937469482,4.164791107177734,3.69238018989563,1.3857691106686463,0.4074823874303279,0,0.999946117401123,0.9993226528167725,0.027853092178702354,0
289b70872c4b2660,0.03125,101,4,0.001216239511448447,3.0542025566101074,15.341307557515936,2.723541259765625,0.8917356133460999,4.165283679962158,3.597561836242676,1.1812822909741933,0.38677273988183397,0,0.9998546242713928,0.9992737770080566,0.027343155816197395,0
674a9ef0db8a87fb,0.03125,102,1,1.454866186412218e-07,4.595169544219971,8.120189372076311,3.370797872543335,0.7335524559020996,4.036000728607178,4.07265567779541,1.9757722333208996,0.4299672110697466,0,0.9999973177909851,0.9996957778930664,0.019235186278820038,0
674a9ef0db8a87fb,0.03125,102,2,4.1432734010804495e-05,3.966048002243042,11.453313576632512,3.15409517288208,0.7952740788459778,4.0724029541015625,4.090129852294922,1.7114281070851654,0.431519766305715,0,0.9999819993972778,0.9995298981666565,0.02267511375248432,0
674a9ef0db8a87fb,0.03125,102,3,0.0003579634882779903,3.314771890640259,13.947825941822767,2.7882497310638428,0.8411588668823242,3.8165836334228516,4.0241217613220215,1.471181588412077,0.4438258911770588,0,0.9999436140060425,0.9993358254432678,0.028117185458540916,0
674a9ef0db8a87fb,0.03125,102,4,0.0008685269986994371,2.9236738681793213,15.021790320116022,2.5440468788146973,0.8701541423797607,3.6021196842193604,3.9172120094299316,1.2504575815807006,0.42770077579118165,0,0.9998871088027954,0.9989748597145081,0.030052464455366135,0
fe67efb67417d9b7,0.0625,100,1,1.112829553173711e-06,4.438870429992676,8.089456848058544,3.267808198928833,0.7361801266670227,3.824064254760742,4.015751838684082,1.9528411906049095,0.4399410213485622,0,0.9999974370002747,0.9996589422225952,0.020122801885008812,0
fe67efb67417d9b7,0.0625,100,2,0.0002996995389322743,3.675398826599121,11.355449585477357,2.890846014022827,0.7865394353866577,3.6776742935180664,3.912808418273926,1.490064952554979,0.4054158535860853,0,0.9999786615371704,0.9994509816169739,0.024116596207022667,0
fe67efb67417d9b7,0.0625,100,3,0.0021237763535638665,3.322470188140869,13.367348251053402,2.6801323890686035,0.8066685795783997,3.7337164878845215,3.9695112705230713,1.387435092526899,0.41759143467386717,0,0.9999434351921082,0.9991655945777893,0.026448234915733337,0
