control,truth_regime,empirical_regime,cka_drift,local_margin,global_margin,collision_pairs,nuisance_probe_cosine,fiber_image_beta1,ph_h1_top1
isometry,preserved,preserved,-2.220446049250313e-16,0.9999999999999999,0.6366197723675813,0,0.9997964260453464,1,0.9977990388870239
deformed,deformed,deformed,0.7997368416044607,0.13533528323661267,0.08615711720739452,0,0.9992268281974008,1,0.16396713256835938
near_singular,near-singular,near-singular,0.2928932117423846,9.999999999999999e-05,6.366197723675813e-05,0,0.9997964260453464,1,1.4575783610343933
double_cover,quotiented,sampled-collision,0.4999999999999998,1.9999999999999998,4.9977595182166055e-17,256,0.008324292090567158,1,1.030663639307022
quotient,quotiented,sampled-collision,0.2928932188134522,0.0,0.0,7936,0.007221406612799173,0,1.4575783610343933
